Date,DayOfWeek,DayOfMonth,Month,Is_Start_Of_Month,Is_End_Of_Month,Is_Weekend,Is_Holiday,Is_Vacation,Is_Exam_Period,Is_Fest,Days_Until_Holiday,DayOfWeek_Sin,DayOfWeek_Cos,Month_Sin,Month_Cos,Is_Broke_Weekend,Is_Rich_Weekend,WeekOfYear,DayOfYear,Target_Headcount,Target_1_Days_Ago,Target_2_Days_Ago,Target_3_Days_Ago,Target_7_Days_Ago,Target_14_Days_Ago,Target_21_Days_Ago,Target_3_Day_Avg,Target_3_Day_Std,Target_3_Day_Max,Target_3_Day_Min,Target_7_Day_Avg,Target_7_Day_Std,Target_7_Day_Max,Target_7_Day_Min,Target_14_Day_Avg,Target_14_Day_Std,Target_14_Day_Max,Target_14_Day_Min,Target_28_Day_Avg,Target_28_Day_Std,Target_28_Day_Max,Target_28_Day_Min,Target_EWMA_7,Target_EWMA_14,Trend_7_vs_28
2024-07-08,Monday,8,7,0,0,0,0,1,0,0,38.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,28,190,412.0,166.0,323.0,282.0,311.0,,,257.0,81.43095234614415,323.0,166.0,288.0,61.58463011715396,364.0,166.0,,,,,,,,,273.3607324945756,282.5810987613021,
2024-07-09,Tuesday,9,7,0,0,0,0,1,0,0,37.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0,0,28,191,333.0,412.0,166.0,323.0,273.0,,,300.3333333333333,124.55654673012309,412.0,166.0,302.42857142857144,77.61627222616217,412.0,166.0,,,,,,,,,308.0205493709317,299.8369522597951,
2024-07-10,Wednesday,10,7,0,0,0,0,1,0,0,36.0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,28,192,448.0,333.0,412.0,166.0,364.0,,,303.6666666666667,125.59591288466888,412.0,166.0,311.0,77.13624310270754,412.0,166.0,,,,,,,,,314.26541202819874,304.25869195848907,
2024-07-11,Thursday,11,7,0,0,0,0,1,0,0,35.0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,28,193,262.0,448.0,333.0,412.0,297.0,,,397.6666666666667,58.82459802950914,448.0,333.0,323.0,91.88035698668129,448.0,166.0,,,,,,,,,347.6990590211491,323.4241996973572,
2024-07-12,Friday,12,7,0,0,0,0,1,0,0,34.0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0,0,28,194,386.0,262.0,448.0,333.0,282.0,,,347.6666666666667,93.86337588928566,448.0,262.0,318.0,94.44751628991271,448.0,166.0,,,,,,,,,326.27429426586184,315.23430640437624,
2024-07-13,Saturday,13,7,0,0,1,0,1,0,0,33.0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0,0,28,195,414.0,386.0,262.0,448.0,323.0,,,365.3333333333333,94.70656436242069,448.0,262.0,332.85714285714283,96.00768818420838,448.0,166.0,,,,,,,,,341.20572069939635,324.6697322171261,
2024-07-14,Sunday,14,7,0,0,1,0,1,0,0,32.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0,0,28,196,246.0,414.0,386.0,262.0,166.0,,,354.0,80.89499366462672,414.0,262.0,345.85714285714283,100.5061002649898,448.0,166.0,,,,,,,,,359.40429052454726,336.580434588176,
2024-07-15,Monday,15,7,0,0,0,0,1,0,0,31.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,29,197,541.0,246.0,414.0,386.0,412.0,311.0,,348.6666666666667,90.00740710260091,414.0,246.0,357.2857142857143,78.86425951323844,448.0,246.0,322.64285714285717,76.89914188063494,448.0,166.0,,,,,331.0532178934104,324.50304330975257,
2024-07-16,Tuesday,16,7,0,0,0,0,1,0,0,30.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0,0,29,198,417.0,541.0,246.0,414.0,333.0,273.0,,400.3333333333333,147.97409683229472,541.0,246.0,375.7142857142857,104.64019986874747,541.0,246.0,339.07142857142856,96.33312736837433,541.0,166.0,,,,,383.5399134200578,353.36930420178555,
2024-07-17,Wednesday,17,7,0,0,0,0,1,0,0,29.0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,29,199,465.0,417.0,541.0,246.0,448.0,364.0,,401.3333333333333,148.12269688786165,541.0,246.0,387.7142857142857,103.7379941418351,541.0,246.0,349.35714285714283,96.42343087641108,541.0,166.0,,,,,391.90493506504333,361.85339697488087,
2024-07-18,Thursday,18,7,0,0,0,0,1,0,0,28.0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,29,200,427.0,465.0,417.0,541.0,262.0,297.0,,474.3333333333333,62.52466180103125,541.0,417.0,390.14285714285717,105.56740117326075,541.0,246.0,356.57142857142856,101.26029997806818,541.0,166.0,,,,,410.17870129878247,375.6062773782301,
2024-07-19,Friday,19,7,0,0,0,0,1,0,0,27.0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0,0,29,201,422.0,427.0,465.0,417.0,386.0,282.0,,436.3333333333333,25.324559884296814,465.0,417.0,413.7142857142857,89.36388958580945,541.0,246.0,365.85714285714283,101.33786378922066,541.0,166.0,,,,,414.38402597408685,382.45877372779944,
2024-07-20,Saturday,20,7,0,0,1,0,1,0,0,26.0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0,0,29,202,492.0,422.0,427.0,465.0,414.0,323.0,,438.0,23.515952032609746,465.0,422.0,418.85714285714283,88.53516922938685,541.0,246.0,375.85714285714283,99.3136888410092,541.0,166.0,,,,,416.28801948056514,387.73093723075954,
2024-07-21,Sunday,21,7,0,0,1,0,1,0,0,25.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0,0,29,203,304.0,492.0,422.0,427.0,246.0,166.0,,447.0,39.051248379533305,492.0,422.0,430.0,92.63548636096918,541.0,246.0,387.92857142857144,102.61088882518516,541.0,166.0,,,,,435.2160146104238,401.6334789333249,
2024-07-22,Monday,22,7,0,0,0,0,1,0,0,24.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,30,204,490.0,304.0,492.0,422.0,541.0,412.0,311.0,406.0,95.01578816175763,492.0,304.0,438.2857142857143,74.19279903448447,541.0,304.0,397.7857142857143,84.7205166064628,541.0,246.0,,,,,402.41201095781787,388.615681742215,
2024-07-23,Tuesday,23,7,0,0,0,0,1,0,0,23.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0,0,30,205,368.0,490.0,304.0,492.0,417.0,333.0,273.0,428.6666666666667,107.96913139102924,492.0,304.0,431.0,64.26507605223831,492.0,304.0,403.35714285714283,88.21966215764373,541.0,246.0,,,,,424.3090082183634,402.133590843253,
2024-07-24,Wednesday,24,7,0,1,0,0,1,0,0,22.0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,30,206,598.0,368.0,490.0,304.0,465.0,448.0,364.0,387.3333333333333,94.49514978734801,490.0,304.0,424.0,68.56870034255165,492.0,304.0,405.85714285714283,86.5526581761799,541.0,246.0,,,,,410.2317561637725,397.5824453974859,
2024-07-25,Thursday,25,7,0,1,0,0,1,0,0,21.0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,30,207,418.0,598.0,368.0,490.0,427.0,262.0,297.0,485.3333333333333,115.07099257994318,598.0,368.0,443.0,95.11221442766066,598.0,304.0,416.57142857142856,100.35453635502968,598.0,246.0,,,,,457.1738171228294,424.3047860111545,
2024-07-26,Friday,26,7,0,1,0,0,1,0,0,20.0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0,0,30,208,436.0,418.0,598.0,368.0,422.0,386.0,282.0,461.3333333333333,120.96831541082705,598.0,368.0,441.7142857142857,95.4248644846024,598.0,304.0,427.7142857142857,89.99780217096641,598.0,246.0,,,,,447.38036284212205,423.4641478763339,
2024-07-27,Saturday,27,7,0,1,1,0,1,0,0,19.0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,1,0,30,209,486.0,436.0,418.0,598.0,492.0,414.0,323.0,484.0,99.13626985114986,598.0,418.0,443.7142857142857,95.08893080640212,598.0,304.0,431.2857142857143,89.20368099633957,598.0,246.0,,,,,444.53527213159157,425.1355948261561,
2024-07-28,Sunday,28,7,0,1,1,0,1,0,0,18.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,1,0,30,210,233.0,486.0,436.0,418.0,304.0,246.0,166.0,446.6666666666667,35.23256069793023,486.0,418.0,442.85714285714283,94.60695635351641,598.0,304.0,436.42857142857144,90.20038741662864,598.0,246.0,,,,,454.90145409869365,433.2508488493353,
2024-07-29,Monday,29,7,0,1,0,0,1,0,0,17.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,31,211,491.0,233.0,486.0,436.0,490.0,541.0,412.0,385.0,133.98880550254935,486.0,233.0,432.7142857142857,113.8284005066606,598.0,233.0,435.5,92.35279346905793,598.0,233.0,379.07142857142856,101.27151936709865,598.0,166.0,399.42609057402024,406.55073566942394,1.1385077992858486
2024-07-30,Tuesday,30,7,0,1,0,0,1,0,0,16.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0,0,31,212,381.0,491.0,233.0,486.0,368.0,417.0,333.0,403.3333333333333,147.53417683144926,491.0,233.0,432.85714285714283,113.9128739745549,598.0,233.0,431.92857142857144,88.85984148405531,598.0,233.0,385.5,102.49607038537842,598.0,166.0,422.3195679305152,417.8106375801674,1.119940861208649
2024-07-31,Wednesday,31,7,0,1,0,0,1,0,0,15.0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,31,213,471.0,381.0,491.0,233.0,598.0,465.0,448.0,368.3333333333333,129.46556813814757,491.0,233.0,434.7142857142857,112.7795996412386,598.0,233.0,429.35714285714283,89.84054861711489,598.0,233.0,389.35714285714283,100.11001884434882,598.0,166.0,411.9896759478864,412.9025525694784,1.1136322049405307
2024-08-01,Thursday,1,8,1,0,0,0,1,0,0,14.0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0,0,31,214,184.0,471.0,381.0,491.0,418.0,427.0,262.0,447.6666666666667,58.59465277082318,491.0,381.0,416.57142857142856,90.06082600638501,491.0,233.0,429.7857142857143,90.03775154509754,598.0,233.0,393.17857142857144,101.14311590108294,598.0,166.0,426.7422569609148,420.648878893548,1.0568089154661593
2024-08-02,Friday,2,8,1,0,0,0,1,0,0,13.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,0,0,31,215,238.0,184.0,471.0,381.0,436.0,422.0,386.0,345.3333333333333,146.78669331153057,471.0,184.0,383.14285714285717,125.784774610481,491.0,184.0,412.42857142857144,111.48419293660102,598.0,184.0,389.14285714285717,107.19615605522371,598.0,166.0,366.0566927206861,389.0956950410749,0.9820578542658367
2024-08-03,Saturday,3,8,1,0,1,0,1,0,0,12.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,1,31,216,228.0,238.0,184.0,471.0,486.0,492.0,414.0,297.6666666666667,152.51994405104318,471.0,184.0,354.85714285714283,133.91717411821944,491.0,184.0,399.2857142857143,120.73137924361643,598.0,184.0,387.57142857142856,109.13003747532153,598.0,166.0,334.0425195405146,368.9496023689316,0.913235294117647
2024-08-04,Sunday,4,8,1,0,1,0,1,0,0,11.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0,1,31,217,140.0,228.0,238.0,184.0,233.0,304.0,246.0,216.66666666666666,28.728615235220445,238.0,184.0,318.0,127.1403424042371,491.0,184.0,380.42857142857144,125.65319444695895,598.0,184.0,384.17857142857144,112.63249105976502,598.0,166.0,307.53188965538595,350.15632205307406,0.8255910987482614
2024-08-05,Monday,5,8,1,0,0,0,1,0,0,10.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,32,218,245.0,140.0,228.0,238.0,491.0,490.0,541.0,202.0,53.925875050851126,238.0,140.0,304.7142857142857,141.5458868891572,491.0,140.0,368.7142857142857,140.136432736886,598.0,140.0,383.25,114.5880302067658,598.0,140.0,265.6489172415395,322.1354791126642,0.793010502834836
2024-08-06,Tuesday,6,8,1,0,0,0,1,0,0,9.0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0,0,32,219,253.0,245.0,140.0,228.0,381.0,368.0,417.0,204.33333333333334,56.35896852616575,245.0,140.0,269.57142857142856,115.77975807952086,471.0,140.0,351.2142857142857,139.11930606023492,598.0,140.0,377.2857142857143,117.34907001252391,598.0,140.0,260.4866879311546,311.850748564309,0.7126132930513595
2024-08-07,Wednesday,7,8,1,0,0,0,1,0,0,8.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,32,220,388.0,253.0,245.0,140.0,471.0,598.0,465.0,212.66666666666666,63.058174199173735,253.0,140.0,251.28571428571428,104.83910575371239,471.0,140.0,343.0,141.42788322620876,598.0,140.0,374.42857142857144,119.42281827108893,598.0,140.0,258.61501594836596,304.00398208906785,0.6693302891933028
2024-08-08,Thursday,8,8,0,0,0,0,1,0,0,7.0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0,0,32,221,228.0,388.0,253.0,245.0,184.0,418.0,427.0,295.3333333333333,80.3513119577604,388.0,245.0,239.42857142857142,76.78944619945533,388.0,140.0,328.0,122.1203693713076,491.0,140.0,372.2857142857143,118.58919354391796,598.0,140.0,290.9612619612745,315.20345114385884,0.6414083429008802
2024-08-09,Friday,9,8,0,0,0,0,1,0,0,6.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,0,0,32,222,289.0,228.0,388.0,253.0,238.0,436.0,422.0,289.6666666666667,86.07167555783569,388.0,228.0,245.71428571428572,73.21364691939674,388.0,140.0,314.42857142857144,121.90646747891105,491.0,140.0,371.07142857142856,119.92680748456186,598.0,140.0,275.2209464709559,303.57632432467767,0.6603954693799194
2024-08-10,Saturday,10,8,0,0,1,0,1,0,0,5.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,0,32,223,273.0,289.0,228.0,388.0,228.0,486.0,492.0,301.6666666666667,80.748580998884,388.0,228.0,253.0,74.83760195694849,388.0,140.0,303.92857142857144,116.85590356418533,491.0,140.0,367.60714285714283,120.87683945843524,598.0,140.0,278.6657098532169,301.63281441472066,0.686367600038756
2024-08-11,Sunday,11,8,0,0,1,0,1,0,0,4.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0,0,32,224,164.0,273.0,289.0,228.0,140.0,233.0,304.0,263.3333333333333,31.62804662531867,289.0,228.0,259.42857142857144,74.26272538058628,388.0,140.0,288.7142857142857,104.54474829279745,491.0,140.0,362.57142857142856,121.80598676870699,598.0,140.0,277.2492823899127,297.8151058260912,0.7135559921414539
2024-08-12,Monday,12,8,0,0,0,0,0,0,0,3.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,33,225,436.0,164.0,273.0,289.0,245.0,491.0,490.0,242.0,68.02205524680946,289.0,164.0,262.85714285714283,68.13082653109028,388.0,164.0,283.7857142857143,108.90869752046606,491.0,140.0,359.64285714285717,125.63799091797341,598.0,140.0,248.93696179243454,279.9730917159457,0.7288571994454346
2024-08-13,Tuesday,13,8,0,0,0,0,0,0,0,2.0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0,0,33,226,340.0,436.0,164.0,273.0,253.0,381.0,368.0,291.0,136.89046716261873,436.0,164.0,290.14285714285717,93.36207040589971,436.0,164.0,279.85714285714283,101.60622114725136,471.0,140.0,355.89285714285717,121.52406842411595,598.0,140.0,295.70272134432594,300.776679487153,0.8129690783548484
2024-08-14,Wednesday,14,8,0,0,0,0,0,0,0,1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,33,227,607.0,340.0,436.0,164.0,388.0,471.0,598.0,313.3333333333333,137.94684966802734,436.0,164.0,302.57142857142856,93.38425481642518,436.0,164.0,276.92857142857144,99.02483316026115,471.0,140.0,353.14285714285717,120.9599610173225,598.0,140.0,306.77704100824445,306.00645555553257,0.854376764824526
2024-08-15,Thursday,15,8,0,0,0,1,0,0,0,0.0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0,0,33,228,180.0,607.0,340.0,436.0,228.0,184.0,418.0,461.0,135.2442235365341,607.0,340.0,333.85714285714283,147.67693181562302,607.0,164.0,286.64285714285717,123.23811045343014,607.0,140.0,358.2142857142857,128.56137232865268,607.0,140.0,381.83278075618335,346.13892814812823,0.9294094253330681
2024-08-16,Friday,16,8,0,0,0,0,0,0,0,2.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,0,0,33,229,430.0,180.0,607.0,340.0,289.0,238.0,436.0,375.6666666666667,215.72281597766457,607.0,180.0,327.0,154.3740047201384,607.0,164.0,286.35714285714283,123.49874315327884,607.0,140.0,349.39285714285717,132.09237488456898,607.0,140.0,331.3745855671375,323.98707106171116,0.9332382020181428
2024-08-17,Saturday,17,8,0,0,1,0,0,0,0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,0,33,230,527.0,430.0,180.0,607.0,273.0,228.0,486.0,405.6666666666667,214.53748701178853,607.0,180.0,347.14285714285717,157.7513112163451,607.0,164.0,300.07142857142856,128.28361864706966,607.0,140.0,349.67857142857144,132.2637806504777,607.0,140.0,356.0309391753531,338.122128253483,0.9899175068744271
2024-08-18,Sunday,18,8,0,0,1,1,0,0,0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0,0,33,231,213.0,527.0,430.0,180.0,164.0,140.0,233.0,379.0,179.03351641522323,527.0,180.0,383.42857142857144,166.80713128526313,607.0,164.0,321.42857142857144,139.73971093854033,607.0,140.0,350.92857142857144,133.81494368507265,607.0,140.0,398.77320438151486,363.30584448635193,1.0895067992693321
2024-08-19,Monday,19,8,0,0,0,0,0,0,0,5.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,34,232,362.0,213.0,527.0,430.0,436.0,245.0,491.0,390.0,160.7762420259909,527.0,213.0,390.42857142857144,156.79164214848637,607.0,180.0,326.64285714285717,133.67964412260847,607.0,164.0,347.67857142857144,136.0827780682497,607.0,140.0,352.32990328613613,343.265065221505,1.119737785516747
2024-08-20,Tuesday,20,8,0,0,0,0,0,0,0,4.0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0,0,34,233,432.0,362.0,213.0,527.0,340.0,253.0,381.0,367.3333333333333,157.0679258579973,527.0,213.0,379.85714285714283,155.6978147688961,607.0,180.0,335.0,131.8273929745314,607.0,164.0,343.10714285714283,133.24506502868076,607.0,140.0,354.7474274646021,345.7630565253043,1.1038920601971978
2024-08-21,Wednesday,21,8,0,0,0,0,0,0,0,3.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,34,234,680.0,432.0,362.0,213.0,607.0,388.0,471.0,335.6666666666667,111.84960139997519,432.0,213.0,393.0,155.65560274743285,607.0,180.0,347.7857142857143,131.94298219098485,607.0,164.0,345.39285714285717,134.23316896651758,607.0,140.0,374.0605705984516,357.2613156552638,1.1345499536034642
2024-08-22,Thursday,22,8,0,0,0,0,0,0,0,2.0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0,0,34,235,399.0,680.0,432.0,362.0,180.0,228.0,184.0,491.3333333333333,167.09677834516538,680.0,362.0,403.42857142857144,173.77366231476412,680.0,180.0,368.64285714285717,159.07792340323567,680.0,164.0,348.32142857142856,140.6877429106424,680.0,140.0,450.54542794883866,400.293140234562,1.154892137818219
2024-08-23,Friday,23,8,0,0,0,0,0,0,1,1.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,0,0,34,236,380.0,399.0,680.0,432.0,430.0,289.0,238.0,503.6666666666667,153.5979600558983,680.0,399.0,434.7142857142857,144.00892829464212,680.0,213.0,380.85714285714283,153.92998265588014,680.0,164.0,347.64285714285717,140.38471328769288,680.0,140.0,437.659070961629,400.12072153662035,1.2468756402376562
2024-08-24,Saturday,24,8,0,1,1,1,0,0,1,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,1,0,34,237,390.0,380.0,399.0,680.0,527.0,273.0,228.0,486.3333333333333,167.98908694713873,680.0,380.0,427.57142857142856,145.5138677730946,680.0,213.0,387.35714285714283,151.65730961757023,680.0,164.0,345.64285714285717,139.47526377945738,680.0,140.0,423.2443032212218,397.437958665071,1.2334638368019781
2024-08-25,Sunday,25,8,0,1,1,1,0,0,0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,1,0,34,238,230.0,390.0,380.0,399.0,213.0,164.0,140.0,389.6666666666667,9.504384952921978,399.0,380.0,408.0,138.97841559033532,680.0,213.0,395.7142857142857,148.05166903245876,680.0,164.0,342.2142857142857,137.05618127394632,680.0,140.0,414.93322741591635,396.4462308430615,1.188761706555671
2024-08-26,Monday,26,8,0,1,0,1,0,0,0,0.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,35,239,288.0,230.0,390.0,380.0,362.0,436.0,245.0,333.3333333333333,89.62886439832499,390.0,230.0,410.42857142857144,135.09731941931963,680.0,230.0,400.42857142857144,140.98811422119368,680.0,180.0,342.10714285714283,137.14586430234817,680.0,140.0,368.69992056193723,374.2534000639867,1.1962110960757781
2024-08-27,Tuesday,27,8,0,1,0,0,0,0,0,5.0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0,0,35,240,412.0,288.0,230.0,390.0,432.0,340.0,253.0,302.6666666666667,81.00205758703497,390.0,230.0,399.85714285714283,142.22567580132224,680.0,230.0,389.85714285714283,143.6394295250636,680.0,180.0,334.85714285714283,134.3198819528617,680.0,140.0,348.5249404214529,362.7529467221218,1.1905572096980008
2024-08-28,Wednesday,28,8,0,1,0,0,0,0,0,4.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,35,241,662.0,412.0,288.0,230.0,680.0,607.0,388.0,310.0,92.97311439335566,412.0,230.0,397.0,141.67215675636467,680.0,230.0,395.0,143.00457227762925,680.0,180.0,335.9642857142857,134.84105379430923,680.0,140.0,364.3937053160897,369.31922049250556,1.1781664016958133
2024-08-29,Thursday,29,8,0,1,0,0,0,0,0,3.0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0,0,35,242,307.0,662.0,412.0,288.0,399.0,180.0,228.0,454.0,190.50459312048096,662.0,288.0,394.42857142857144,135.71766913075717,662.0,230.0,398.92857142857144,149.86735893691218,680.0,180.0,342.7857142857143,146.2720340205466,680.0,140.0,438.79527898706726,408.34332442683814,1.1473093704550177
